County, State, FIPS Code, Total Pop, Median Income ($), No. of Housing Units, Median Home Value ($), No. of Owner Occupied Housing Units, No. of Owner Occ. Housing Units with Debt, No. of Owner Occ. Housing Units without Debt
Autauga County, Alabama, 01001, 55221, 51281, 22582, 141300, 15077, 9668, 5409
Baldwin County, Alabama, 01003, 195121, 50254, 106422, 169300, 52997, 31824, 21173
Barbour County, Alabama, 01005, 26932, 32964, 11810, 92200, 5864, 2691, 3173
Bibb County, Alabama, 01007, 22604, 38678, 8971, 102700, 5278, 2605, 2673
Blount County, Alabama, 01009, 57710, 45813, 23860, 119800, 16423, 8849, 7574
Bullock County, Alabama, 01011, 10678, 31938, 4465, 68600, 2609, 866, 1743
Butler County, Alabama, 01013, 20354, 32229, 9919, 78900, 5644, 2348, 3296
Calhoun County, Alabama, 01015, 116648, 41703, 53296, 105900, 31179, 16611, 14568
Chambers County, Alabama, 01017, 34079, 34177, 16936, 80800, 9318, 4847, 4471
Cherokee County, Alabama, 01019, 26008, 36296, 16242, 105100, 8761, 3978, 4783
Chilton County, Alabama, 01021, 43819, 41627, 19247, 100100, 12410, 6309, 6101
Choctaw County, Alabama, 01023, 13395, 33536, 7232, 61100, 4547, 1606, 2941
Clarke County, Alabama, 01025, 25070, 32011, 12600, 86900, 6372, 2448, 3924
Clay County, Alabama, 01027, 13537, 35327, 6738, 84100, 4029, 1847, 2182
Cleburne County, Alabama, 01029, 15002, 38056, 6692, 108000, 4470, 1968, 2502
Coffee County, Alabama, 01031, 50884, 46729, 22776, 142400, 12960, 7059, 5901
Colbert County, Alabama, 01033, 54444, 40576, 26068, 99400, 15833, 8463, 7370
Conecuh County, Alabama, 01035, 12865, 24900, 7070, 70100, 3992, 1005, 2987
Coosa County, Alabama, 01037, 11027, 31212, 6462, 78300, 3530, 1598, 1932
Covington County, Alabama, 01039, 37886, 36444, 18773, 93600, 11171, 5170, 6001
Crenshaw County, Alabama, 01041, 13938, 36022, 6703, 70600, 3787, 1645, 2142
Cullman County, Alabama, 01043, 80965, 38971, 37103, 115200, 23548, 13245, 10303
Dale County, Alabama, 01045, 49866, 45028, 22822, 101700, 11792, 6612, 5180
Dallas County, Alabama, 01047, 42154, 27306, 20243, 81500, 9658, 4746, 4912
DeKalb County, Alabama, 01049, 71068, 38192, 31058, 98500, 18322, 9083, 9239
Elmore County, Alabama, 01051, 80763, 53555, 33140, 147500, 21453, 14152, 7301
Escambia County, Alabama, 01053, 37935, 32330, 16435, 93800, 9774, 3788, 5986
Etowah County, Alabama, 01055, 103766, 39220, 47500, 100400, 28472, 14954, 13518
Fayette County, Alabama, 01057, 16896, 34680, 8415, 75200, 5212, 2051, 3161
Franklin County, Alabama, 01059, 31634, 35372, 14030, 85600, 8097, 3865, 4232
Geneva County, Alabama, 01061, 26815, 36024, 12658, 77400, 8043, 3526, 4517
Greene County, Alabama, 01063, 8697, 20541, 4994, 69600, 2275, 687, 1588
Hale County, Alabama, 01065, 15256, 32714, 7641, 87400, 4466, 2033, 2433
Henry County, Alabama, 01067, 17252, 41997, 8960, 96300, 5398, 2907, 2491
Houston County, Alabama, 01069, 103534, 41571, 46097, 123300, 25359, 15015, 10344
Jackson County, Alabama, 01071, 52860, 37745, 24758, 98900, 15025, 6843, 8182
Jefferson County, Alabama, 01073, 659026, 45610, 303755, 143400, 164894, 106912, 57982
Lamar County, Alabama, 01075, 14133, 35450, 7314, 67900, 4397, 1584, 2813
Lauderdale County, Alabama, 01077, 92737, 43125, 44158, 118600, 26757, 14710, 12047
Lawrence County, Alabama, 01079, 33586, 40003, 15190, 94800, 10845, 5065, 5780
Lee County, Alabama, 01081, 150982, 44570, 64964, 154300, 33753, 21594, 12159
Limestone County, Alabama, 01083, 88805, 49570, 35357, 142100, 24570, 15154, 9416
Lowndes County, Alabama, 01085, 10742, 25876, 5091, 67800, 3154, 1386, 1768
Macon County, Alabama, 01087, 20018, 30738, 10238, 74700, 5203, 2276, 2927
Madison County, Alabama, 01089, 346438, 57993, 152720, 167900, 93319, 64146, 29173
Marengo County, Alabama, 01091, 20306, 32042, 10218, 90800, 5809, 2694, 3115
Marion County, Alabama, 01093, 30387, 32299, 14724, 81400, 9595, 4030, 5565
Marshall County, Alabama, 01095, 94318, 38983, 40370, 115500, 24605, 13593, 11012
Mobile County, Alabama, 01097, 414251, 43809, 180932, 122400, 102608, 63420, 39188
Monroe County, Alabama, 01099, 22217, 27257, 11296, 81200, 5561, 2436, 3125
Montgomery County, Alabama, 01101, 228138, 44369, 103070, 122300, 53006, 36131, 16875
Morgan County, Alabama, 01103, 119786, 45751, 51411, 123500, 32710, 19019, 13691
Perry County, Alabama, 01105, 10038, 24537, 4711, 66300, 2364, 840, 1524
Pickens County, Alabama, 01107, 19856, 30330, 9447, 82000, 5486, 2423, 3063
Pike County, Alabama, 01109, 33155, 32825, 15619, 105500, 7411, 3793, 3618
Randolph County, Alabama, 01111, 22648, 36924, 11940, 85800, 6353, 2890, 3463
Russell County, Alabama, 01113, 58302, 37049, 26368, 111000, 13071, 8266, 4805
St. Clair County, Alabama, 01115, 85864, 51859, 35741, 140000, 25631, 15100, 10531
Shelby County, Alabama, 01117, 203530, 70187, 82850, 192800, 59588, 42948, 16640
Sumter County, Alabama, 01119, 13341, 19501, 6752, 72900, 3269, 1284, 1985
Talladega County, Alabama, 01121, 81437, 35155, 37157, 93400, 22329, 11254, 11075
Tallapoosa County, Alabama, 01123, 41153, 39206, 22078, 103400, 11649, 6031, 5618
Tuscaloosa County, Alabama, 01125, 200458, 46565, 87064, 156500, 44160, 28883, 15277
Walker County, Alabama, 01127, 65923, 35843, 30673, 82800, 18943, 8019, 10924
Washington County, Alabama, 01129, 16997, 42811, 8371, 85700, 5147, 2037, 3110
Wilcox County, Alabama, 01131, 11235, 23750, 5616, 77300, 2645, 862, 1783
Winston County, Alabama, 01133, 24130, 33194, 13416, 81500, 7168, 2926, 4242
Aleutians East Borough, Alaska, 02013, 3304, 61518, 894, 126100, 369, 134, 235
Aleutians West Census Area, Alaska, 02016, 5684, 84306, 1944, 217500, 367, 205, 162
Anchorage Municipality, Alaska, 02020, 299107, 78326, 114083, 290500, 63120, 46153, 16967
Bethel Census Area, Alaska, 02050, 17776, 51012, 5937, 165700, 2898, 1054, 1844
Bristol Bay Borough, Alaska, 02060, 970, 79750, 917, 187500, 204, 93, 111
Denali Borough, Alaska, 02068, 2060, 81544, 1724, 190200, 513, 234, 279
Dillingham Census Area, Alaska, 02070, 4979, 54173, 2422, 195100, 813, 290, 523
Fairbanks North Star Borough, Alaska, 02090, 99705, 71068, 41697, 218100, 20677, 14256, 6421
Haines Borough, Alaska, 02100, 2560, 58750, 1590, 211400, 812, 450, 362
Hoonah-Angoon Census Area, Alaska, 02105, 2128, 52419, 1661, 233400, 591, 202, 389
Juneau City and Borough, Alaska, 02110, 32531, 85746, 13159, 323500, 7711, 5484, 2227
Kenai Peninsula Borough, Alaska, 02122, 57221, 63684, 30671, 219100, 15566, 9129, 6437
Ketchikan Gateway Borough, Alaska, 02130, 13699, 64222, 6220, 252500, 3096, 2032, 1064
Kodiak Island Borough, Alaska, 02150, 13973, 70887, 5320, 245400, 2750, 1756, 994
Kusilvak Census Area, Alaska, 02158, 7914, 38229, 2193, 108000, 1294, 366, 928
Lake and Peninsula Borough, Alaska, 02164, 1474, 50781, 1508, 145000, 322, 73, 249
Matanuska-Susitna Borough, Alaska, 02170, 96178, 72983, 41311, 224900, 23533, 16344, 7189
Nome Census Area, Alaska, 02180, 9854, 48868, 4025, 123500, 1649, 702, 947
North Slope Borough, Alaska, 02185, 9667, 72576, 2520, 141100, 1050, 376, 674
Northwest Arctic Borough, Alaska, 02188, 7732, 63648, 2711, 124500, 1060, 382, 678
Petersburg Borough, Alaska, 02195, 3221, 67935, 1738, 218800, 864, 466, 398
Prince of Wales-Hyder Census Area, Alaska, 02198, 6376, 48523, 3334, 162600, 1625, 547, 1078
Sitka City and Borough, Alaska, 02220, 8943, 70376, 4119, 338600, 2056, 1144, 912
Skagway Municipality, Alaska, 02230, 999, 69318, 636, 324600, 223, 146, 77
Southeast Fairbanks Census Area, Alaska, 02240, 7029, 62670, 3909, 197300, 1485, 496, 989
Valdez-Cordova Census Area, Alaska, 02261, 9617, 78810, 6093, 200700, 2125, 975, 1150
Wrangell City and Borough, Alaska, 02275, 2387, 48603, 1499, 171400, 745, 324, 421
Yakutat City and Borough, Alaska, 02282, 643, 72500, 391, 166000, 136, 67, 69
Yukon-Koyukuk Census Area, Alaska, 02290, 5644, 38491, 4035, 88800, 1402, 221, 1181
Apache County, Arizona, 04001, 72124, 31757, 32661, 83300, 14755, 3854, 10901
Cochise County, Arizona, 04003, 129647, 45075, 60087, 143900, 33186, 18956, 14230
Coconino County, Arizona, 04005, 136701, 50234, 63955, 219300, 27868, 15655, 12213
Gila County, Arizona, 04007, 53165, 39751, 32952, 134200, 15209, 6860, 8349
Graham County, Arizona, 04009, 37407, 45964, 13128, 123300, 7752, 4346, 3406
Greenlee County, Arizona, 04011, 9023, 51628, 4399, 82700, 1493, 529, 964
La Paz County, Arizona, 04012, 20335, 34466, 16104, 69100, 6972, 1746, 5226
Maricopa County, Arizona, 04013, 4018143, 54229, 1668555, 187100, 875327, 623472, 251855
Mohave County, Arizona, 04015, 203362, 38488, 111984, 123200, 54220, 28821, 25399
Navajo County, Arizona, 04017, 107656, 35921, 57414, 104400, 23882, 9249, 14633
Pima County, Arizona, 04019, 998537, 46162, 446769, 159900, 238329, 152676, 85653
Pinal County, Arizona, 04021, 389772, 49477, 163490, 128700, 92151, 57000, 35151
Santa Cruz County, Arizona, 04023, 47073, 40140, 18105, 137000, 10137, 6820, 3317
Yavapai County, Arizona, 04025, 215996, 44748, 111731, 188200, 64499, 37108, 27391
Yuma County, Arizona, 04027, 202987, 40743, 89330, 112100, 48081, 27770, 20311
Arkansas County, Arkansas, 05001, 18731, 36411, 9444, 75600, 5166, 2534, 2632
Ashley County, Arkansas, 05003, 21229, 34263, 10104, 65700, 6290, 2605, 3685
Baxter County, Arkansas, 05005, 41040, 35396, 22613, 120400, 13726, 7008, 6718
Benton County, Arkansas, 05007, 238198, 56239, 96389, 150800, 57386, 39591, 17795
Boone County, Arkansas, 05009, 37227, 39251, 16902, 111700, 10651, 5795, 4856
Bradley County, Arkansas, 05011, 11206, 33701, 5832, 68700, 3102, 1337, 1765
Calhoun County, Arkansas, 05013, 5245, 36899, 2889, 69000, 1700, 546, 1154
Carroll County, Arkansas, 05015, 27635, 36897, 13561, 116200, 8297, 4094, 4203
Chicot County, Arkansas, 05017, 11353, 28913, 5404, 57300, 3053, 1078, 1975
Clark County, Arkansas, 05019, 22751, 35031, 10392, 87200, 5511, 2466, 3045
Clay County, Arkansas, 05021, 15400, 32552, 8046, 63900, 4858, 2018, 2840
Cleburne County, Arkansas, 05023, 25711, 42905, 15841, 126500, 7735, 3759, 3976
Cleveland County, Arkansas, 05025, 8510, 43158, 4054, 84700, 2616, 978, 1638
Columbia County, Arkansas, 05027, 24327, 36619, 11572, 79000, 6544, 2960, 3584
Conway County, Arkansas, 05029, 21110, 37732, 9725, 91500, 6100, 3072, 3028
Craighead County, Arkansas, 05031, 101409, 42475, 42600, 129700, 22887, 14569, 8318
Crawford County, Arkansas, 05033, 61748, 41268, 26378, 108600, 18146, 10826, 7320
Crittenden County, Arkansas, 05035, 49765, 38004, 21568, 104600, 10499, 6869, 3630
Cross County, Arkansas, 05037, 17467, 38103, 7871, 82400, 4426, 2319, 2107
Dallas County, Arkansas, 05039, 7868, 34084, 4300, 62000, 2144, 853, 1291
Desha County, Arkansas, 05041, 12379, 27197, 6269, 59300, 3030, 1114, 1916
Drew County, Arkansas, 05043, 18740, 32819, 8478, 93600, 4443, 2014, 2429
Faulkner County, Arkansas, 05045, 119343, 51223, 48478, 146100, 27292, 18595, 8697
Franklin County, Arkansas, 05047, 17866, 39285, 8024, 93100, 4818, 2436, 2382
Fulton County, Arkansas, 05049, 12224, 37066, 6770, 96700, 4016, 2115, 1901
Garland County, Arkansas, 05051, 96954, 38733, 50518, 130700, 27113, 14817, 12296
Grant County, Arkansas, 05053, 18054, 46171, 7820, 108300, 5305, 2630, 2675
Greene County, Arkansas, 05055, 43382, 41286, 18327, 107700, 10787, 5877, 4910
Hempstead County, Arkansas, 05057, 22336, 32122, 10424, 74700, 5300, 2268, 3032
Hot Spring County, Arkansas, 05059, 33316, 40000, 14293, 83300, 8734, 4205, 4529
Howard County, Arkansas, 05061, 13555, 34229, 6233, 83900, 3299, 1430, 1869
Independence County, Arkansas, 05063, 36952, 36265, 16248, 96000, 10167, 5599, 4568
Izard County, Arkansas, 05065, 13480, 32630, 7209, 78000, 4336, 1980, 2356
Jackson County, Arkansas, 05067, 17597, 31261, 7585, 60600, 4310, 1985, 2325
Jefferson County, Arkansas, 05069, 73548, 36747, 33161, 82000, 17989, 9705, 8284
Johnson County, Arkansas, 05071, 25930, 34139, 11334, 89900, 7204, 3537, 3667
Lafayette County, Arkansas, 05073, 7270, 31194, 4353, 61400, 2033, 824, 1209
Lawrence County, Arkansas, 05075, 17029, 32379, 7981, 64500, 4713, 2041, 2672
Lee County, Arkansas, 05077, 9966, 28393, 4370, 59500, 2051, 660, 1391
Lincoln County, Arkansas, 05079, 14062, 32580, 4857, 59600, 2817, 1084, 1733
Little River County, Arkansas, 05081, 12720, 36205, 6454, 75500, 3860, 1474, 2386
Logan County, Arkansas, 05083, 22001, 35325, 10133, 83200, 6336, 2980, 3356
Lonoke County, Arkansas, 05085, 70691, 53631, 28253, 126900, 18237, 12396, 5841
Madison County, Arkansas, 05087, 15702, 37691, 7483, 96100, 4825, 2118, 2707
Marion County, Arkansas, 05089, 16458, 34195, 9333, 102900, 5294, 2760, 2534
Miller County, Arkansas, 05091, 43652, 40317, 19375, 94600, 10922, 5192, 5730
Mississippi County, Arkansas, 05093, 44864, 34612, 20512, 79600, 9870, 5428, 4442
Monroe County, Arkansas, 05095, 7713, 27647, 4437, 55000, 2083, 811, 1272
Montgomery County, Arkansas, 05097, 9197, 33037, 5746, 82200, 3099, 1222, 1877
Nevada County, Arkansas, 05099, 8793, 30691, 4553, 66600, 2471, 1012, 1459
Newton County, Arkansas, 05101, 8052, 34536, 4679, 82900, 2788, 1026, 1762
Ouachita County, Arkansas, 05103, 25044, 31293, 13089, 66400, 7066, 2907, 4159
Perry County, Arkansas, 05105, 10300, 42346, 4904, 84200, 3074, 1334, 1740
Phillips County, Arkansas, 05107, 20391, 26844, 10136, 61200, 4170, 1756, 2414
Pike County, Arkansas, 05109, 11087, 33097, 5578, 74700, 3295, 1537, 1758
Poinsett County, Arkansas, 05111, 24210, 33070, 10920, 74200, 5721, 2422, 3299
Polk County, Arkansas, 05113, 20364, 33702, 10038, 84300, 6252, 2872, 3380
Pope County, Arkansas, 05115, 62830, 39810, 25789, 117100, 15305, 8835, 6470
Prairie County, Arkansas, 05117, 8402, 35833, 4497, 66400, 2700, 1048, 1652
Pulaski County, Arkansas, 05119, 390463, 46140, 179916, 142400, 92876, 61361, 31515
Randolph County, Arkansas, 05121, 17695, 34044, 8521, 73700, 5362, 2668, 2694
St. Francis County, Arkansas, 05123, 27345, 32105, 10915, 60800, 5247, 2599, 2648
Saline County, Arkansas, 05125, 113833, 55817, 46355, 141400, 32556, 20748, 11808
Scott County, Arkansas, 05127, 10870, 37321, 5191, 76800, 3010, 1472, 1538
Searcy County, Arkansas, 05129, 7965, 33083, 4901, 86300, 2559, 915, 1644
Sebastian County, Arkansas, 05131, 127273, 38575, 55758, 114600, 30104, 18408, 11696
Sevier County, Arkansas, 05133, 17268, 36579, 6878, 68200, 4403, 2130, 2273
Sharp County, Arkansas, 05135, 17055, 30691, 9825, 74800, 5512, 2782, 2730
Stone County, Arkansas, 05137, 12512, 29264, 6737, 92700, 3904, 1623, 2281
Union County, Arkansas, 05139, 40633, 38678, 19641, 74600, 11724, 5227, 6497
Van Buren County, Arkansas, 05141, 17002, 32312, 10329, 89900, 5287, 2159, 3128
Washington County, Arkansas, 05143, 216432, 43524, 89331, 151900, 44668, 29879, 14789
White County, Arkansas, 05145, 78660, 42554, 32970, 108800, 20158, 11227, 8931
Woodruff County, Arkansas, 05147, 6983, 28993, 3883, 60000, 1785, 680, 1105
Yell County, Arkansas, 05149, 21835, 37804, 9739, 94900, 5195, 2574, 2621
Alameda County, California, 06001, 1584983, 75619, 589858, 543100, 294644, 221569, 73075
Alpine County, California, 06003, 1131, 52917, 1801, 295000, 282, 151, 131
Amador County, California, 06005, 36995, 54171, 18184, 251000, 10577, 6360, 4217
Butte County, California, 06007, 222564, 43444, 97133, 221700, 50031, 31251, 18780
Calaveras County, California, 06009, 44767, 53233, 28031, 243800, 14266, 9243, 5023
Colusa County, California, 06011, 21396, 52168, 7931, 196000, 4331, 2666, 1665
Contra Costa County, California, 06013, 1096068, 80185, 405001, 439900, 248668, 187267, 61401
Del Norte County, California, 06015, 27788, 40847, 11305, 183700, 5704, 3223, 2481
El Dorado County, California, 06017, 182093, 69584, 88639, 363000, 49861, 35908, 13953
Fresno County, California, 06019, 956749, 45233, 321955, 194600, 156474, 112196, 44278
Glenn County, California, 06021, 28029, 39349, 10893, 204400, 5855, 3661, 2194
Humboldt County, California, 06023, 135034, 42197, 62156, 279300, 29128, 17459, 11669
Imperial County, California, 06025, 178206, 41079, 56709, 151600, 25777, 17420, 8357
Inyo County, California, 06027, 18373, 45955, 9502, 240100, 5110, 2444, 2666
Kern County, California, 06029, 865736, 49026, 289529, 167400, 147125, 104644, 42481
Kings County, California, 06031, 150998, 46481, 44628, 169500, 21363, 15240, 6123
Lake County, California, 06033, 64158, 35578, 35626, 164300, 17014, 9294, 7720
Lassen County, California, 06035, 32645, 51555, 12733, 172900, 6315, 3868, 2447
Los Angeles County, California, 06037, 10038388, 56196, 3476718, 441900, 1499879, 1116026, 383853
Madera County, California, 06039, 153187, 45073, 49704, 189700, 26275, 17509, 8766
Marin County, California, 06041, 258349, 93257, 111990, 815100, 64729, 46540, 18189
Mariposa County, California, 06043, 17789, 47681, 10312, 235900, 5224, 2922, 2302
Mendocino County, California, 06045, 87544, 42980, 40643, 308400, 19679, 10725, 8954
Merced County, California, 06047, 263885, 42462, 84063, 161200, 40124, 28350, 11774
Modoc County, California, 06049, 9184, 37860, 5238, 153100, 2767, 1379, 1388
Mono County, California, 06051, 14146, 56944, 13982, 313000, 2919, 1767, 1152
Monterey County, California, 06053, 428441, 58783, 139794, 369100, 61747, 42747, 19000
Napa County, California, 06055, 140295, 71379, 55180, 466800, 29678, 20566, 9112
Nevada County, California, 06057, 98570, 56521, 53017, 347000, 29683, 19364, 10319
Orange County, California, 06059, 3116069, 76509, 1064642, 553600, 582151, 429236, 152915
Placer County, California, 06061, 366280, 73948, 156401, 358500, 94966, 70092, 24874
Plumas County, California, 06063, 18966, 47333, 15674, 217200, 5942, 3754, 2188
Riverside County, California, 06065, 2298032, 56603, 815322, 253200, 453139, 330772, 122367
Sacramento County, California, 06067, 1465832, 55987, 560271, 248400, 289606, 216414, 73192
San Benito County, California, 06069, 57557, 71077, 18038, 380200, 10778, 8311, 2467
San Bernardino County, California, 06071, 2094769, 53433, 705962, 236700, 366514, 274454, 92060
San Diego County, California, 06073, 3223096, 64309, 1180806, 429600, 579079, 427721, 151358
San Francisco County, California, 06075, 840763, 81294, 383676, 799600, 128698, 89622, 39076
San Joaquin County, California, 06077, 708554, 53274, 236562, 223000, 124087, 90592, 33495
San Luis Obispo County, California, 06079, 276517, 60691, 118806, 445700, 59714, 40386, 19328
San Mateo County, California, 06081, 748731, 93623, 272838, 776300, 153422, 111522, 41900
Santa Barbara County, California, 06083, 435850, 63985, 154135, 465300, 74083, 50613, 23470
Santa Clara County, California, 06085, 1868149, 96310, 646190, 698600, 352836, 257770, 95066
Santa Cruz County, California, 06087, 269278, 67256, 105034, 578800, 54628, 38143, 16485
Shasta County, California, 06089, 178942, 44620, 77790, 216600, 43331, 27188, 16143
Sierra County, California, 06091, 3021, 42833, 2311, 170400, 981, 430, 551
Siskiyou County, California, 06093, 43895, 37170, 24002, 174700, 12199, 6294, 5905
Solano County, California, 06095, 425753, 66828, 154380, 279100, 86079, 65993, 20086
Sonoma County, California, 06097, 495078, 64240, 206399, 436400, 111590, 78790, 32800
Stanislaus County, California, 06099, 527367, 50125, 180169, 190800, 95954, 69569, 26385
Sutter County, California, 06101, 95247, 52017, 34065, 198700, 18864, 12991, 5873
Tehama County, California, 06103, 63152, 41001, 27220, 171500, 16008, 10140, 5868
Trinity County, California, 06105, 13373, 34974, 8770, 263100, 3778, 1852, 1926
Tulare County, California, 06107, 454033, 42031, 144792, 162700, 75685, 53843, 21842
Tuolumne County, California, 06109, 54079, 50306, 31361, 259300, 15129, 8685, 6444
Ventura County, California, 06111, 840833, 77348, 283899, 458100, 172609, 131564, 41045
Yolo County, California, 06113, 207320, 54989, 76090, 325700, 37504, 26856, 10648
Yuba County, California, 06115, 73437, 46892, 27930, 172100, 14593, 10358, 4235
Adams County, Colorado, 08001, 471206, 58946, 165046, 198800, 101043, 78253, 22790
